Linux 3.13.0-68-generic (ds-server2) 	10/11/2016 	_x86_64_	(24 CPU)

11:52:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:34 AM  all    0.92    0.00    0.67    3.25    0.00    0.00    0.00    0.00    0.00   95.16
11:52:35 AM  all    2.50    0.00    0.96    1.25    0.00    0.00    0.00    0.00    0.00   95.29
11:52:36 AM  all    0.25    0.00    3.46    1.04    0.00    0.00    0.00    0.00    0.00   95.25
11:52:37 AM  all    0.63    0.00    4.09    0.00    0.00    0.00    0.00    0.00    0.00   95.29
11:52:38 AM  all    4.70    0.00    4.24    5.54    0.00    0.04    0.00    0.00    0.00   85.48
11:52:39 AM  all    5.99    0.00    9.71   23.19    0.00    0.13    0.00    0.00    0.00   60.98
11:52:40 AM  all   11.82    0.00    7.00   18.86    0.00    0.04    0.00    0.00    0.00   62.27
11:52:41 AM  all   14.96    0.00    9.16   20.69    0.00    0.13    0.00    0.00    0.00   55.07
11:52:42 AM  all   13.79    0.00   10.05   22.25    0.00    0.25    0.00    0.00    0.00   53.66
11:52:43 AM  all   12.99    0.00    8.67   23.38    0.00    0.17    0.00    0.00    0.00   54.79
11:52:44 AM  all    9.24    0.00    9.75   24.59    0.00    0.21    0.00    0.00    0.00   56.20
11:52:45 AM  all   18.66    0.00    9.54   20.40    0.00    0.17    0.00    0.00    0.00   51.23
11:52:46 AM  all   30.16    0.00    7.01   15.55    0.00    0.21    0.00    0.00    0.00   47.07
11:52:47 AM  all    8.15    0.00    9.43   23.73    0.00    0.21    0.00    0.00    0.00   58.47
11:52:48 AM  all   16.85    0.00    7.54   20.70    0.00    0.13    0.00    0.00    0.00   54.78
11:52:49 AM  all   21.15    0.00    8.58   18.45    0.00    0.21    0.00    0.00    0.00   51.61
11:52:50 AM  all   11.14    0.00    7.91   19.31    0.00    0.38    0.00    0.00    0.00   61.25
11:52:51 AM  all   10.54    0.00    6.75   16.74    0.00    0.13    0.00    0.00    0.00   65.85
11:52:52 AM  all    9.66    0.00    5.69   16.18    0.00    0.13    0.00    0.00    0.00   68.33
11:52:53 AM  all    9.63    0.00    5.77   13.88    0.00    0.17    0.00    0.00    0.00   70.54
11:52:54 AM  all    9.75    0.00    6.43   12.42    0.00    0.09    0.00    0.00    0.00   71.31
11:52:55 AM  all   12.31    0.00    7.07   12.40    0.00    0.09    0.00    0.00    0.00   68.13
11:52:56 AM  all   12.54    0.00    6.91   10.54    0.00    0.13    0.00    0.00    0.00   69.88
11:52:57 AM  all   14.04    0.00    6.08   10.02    0.00    0.04    0.00    0.00    0.00   69.82
11:52:58 AM  all   11.35    0.00    5.80    9.22    0.00    0.21    0.00    0.00    0.00   73.41
11:52:59 AM  all   11.42    0.00    5.41    8.12    0.00    0.09    0.00    0.00    0.00   74.97
11:53:00 AM  all   11.09    0.00    5.52    8.11    0.00    0.13    0.00    0.00    0.00   75.15
11:53:01 AM  all   12.16    0.00    5.49    7.22    0.00    0.08    0.00    0.00    0.00   75.04
11:53:02 AM  all   11.27    0.00    7.16    6.90    0.00    0.04    0.00    0.00    0.00   74.62
11:53:03 AM  all   14.05    0.00    6.17    7.24    0.00    0.13    0.00    0.00    0.00   72.41
11:53:04 AM  all   11.80    0.00    5.60    6.46    0.00    0.09    0.00    0.00    0.00   76.05
11:53:05 AM  all   11.29    0.00    4.84    5.77    0.00    0.08    0.00    0.00    0.00   78.01
11:53:06 AM  all   11.36    0.00    4.92    5.55    0.00    0.08    0.00    0.00    0.00   78.09
11:53:07 AM  all   11.37    0.00    5.26    5.21    0.00    0.04    0.00    0.00    0.00   78.12
11:53:08 AM  all   10.74    0.00    5.16    5.24    0.00    0.04    0.00    0.00    0.00   78.82
11:53:09 AM  all   11.92    0.00    4.87    4.70    0.00    0.13    0.00    0.00    0.00   78.38
11:53:10 AM  all   17.85    0.00    7.00    4.35    0.00    0.13    0.00    0.00    0.00   70.68
11:53:11 AM  all   17.96    0.00    5.46    4.40    0.00    0.04    0.00    0.00    0.00   72.13
11:53:12 AM  all   11.42    0.00    4.15    4.19    0.00    0.09    0.00    0.00    0.00   80.16
11:53:13 AM  all   11.31    0.00    3.81    4.07    0.00    0.08    0.00    0.00    0.00   80.72
11:53:14 AM  all   10.47    0.00    4.26    3.79    0.00    0.04    0.00    0.00    0.00   81.44
11:53:15 AM  all   10.59    0.00    4.23    3.97    0.00    0.00    0.00    0.00    0.00   81.21
11:53:16 AM  all   13.68    0.00    5.76    3.56    0.00    0.04    0.00    0.00    0.00   76.96
11:53:17 AM  all   13.70    0.00    5.09    3.82    0.00    0.00    0.00    0.00    0.00   77.39
11:53:18 AM  all   15.90    0.00    6.22    6.43    0.00    0.04    0.00    0.00    0.00   71.42
11:53:19 AM  all   14.00    0.00    5.27    6.75    0.00    0.04    0.00    0.00    0.00   73.95
11:53:20 AM  all   11.42    0.00    4.59    6.53    0.00    0.04    0.00    0.00    0.00   77.42
11:53:21 AM  all   12.10    0.00    5.28    6.39    0.00    0.13    0.00    0.00    0.00   76.11
11:53:22 AM  all   12.31    0.00    4.57    6.24    0.00    0.09    0.00    0.00    0.00   76.79
11:53:23 AM  all   12.90    0.00    4.86    6.43    0.00    0.04    0.00    0.00    0.00   75.76
11:53:24 AM  all   13.05    0.00    5.11    6.18    0.00    0.04    0.00    0.00    0.00   75.61
11:53:25 AM  all   14.76    0.00    5.95    6.29    0.00    0.04    0.00    0.00    0.00   72.96
11:53:26 AM  all   14.18    0.00    5.99    4.18    0.00    0.00    0.00    0.00    0.00   75.65
11:53:27 AM  all   11.33    0.00    4.25    3.20    0.00    0.04    0.00    0.00    0.00   81.18
11:53:28 AM  all   10.91    0.00    3.82    3.10    0.00    0.04    0.00    0.00    0.00   82.12
11:53:29 AM  all   11.01    0.00    3.65    3.02    0.00    0.00    0.00    0.00    0.00   82.32
11:53:30 AM  all   10.64    0.00    3.72    3.16    0.00    0.09    0.00    0.00    0.00   82.40
11:53:31 AM  all   11.38    0.00    3.87    3.02    0.00    0.00    0.00    0.00    0.00   81.73
11:53:32 AM  all    8.74    0.00    7.21    2.63    0.00    0.00    0.00    0.00    0.00   81.42
11:53:33 AM  all   12.98    0.00    4.70    3.16    0.00    0.00    0.00    0.00    0.00   79.16
11:53:34 AM  all   11.97    0.00    3.86    3.06    0.00    0.04    0.00    0.00    0.00   81.07
11:53:35 AM  all   11.24    0.00    3.62    3.16    0.00    0.04    0.00    0.00    0.00   81.94
11:53:36 AM  all   10.18    0.00    3.19    3.15    0.00    0.13    0.00    0.00    0.00   83.35
11:53:37 AM  all   11.77    0.00    3.50    2.87    0.00    0.04    0.00    0.00    0.00   81.81
11:53:38 AM  all   10.07    0.00    5.25    3.07    0.00    0.00    0.00    0.00    0.00   81.61
11:53:39 AM  all   12.14    0.00    4.22    3.20    0.00    0.00    0.00    0.00    0.00   80.44
11:53:40 AM  all   14.32    0.00    4.93    3.40    0.00    0.00    0.00    0.00    0.00   77.36
11:53:41 AM  all   11.93    0.00    4.33    2.85    0.00    0.04    0.00    0.00    0.00   80.85
11:53:42 AM  all   10.32    0.00    3.74    2.97    0.00    0.04    0.00    0.00    0.00   82.92
11:53:43 AM  all   13.86    0.00    4.48    5.41    0.00    0.00    0.00    0.00    0.00   76.26
11:53:44 AM  all   13.54    0.00    5.32    5.45    0.00    0.09    0.00    0.00    0.00   75.61
11:53:45 AM  all   11.37    0.00    3.77    3.27    0.00    0.00    0.00    0.00    0.00   81.59
11:53:46 AM  all   16.61    0.00    5.37    5.62    0.00    0.08    0.00    0.00    0.00   72.32
11:53:47 AM  all   15.32    0.00    5.71    5.84    0.00    0.00    0.00    0.00    0.00   73.13
11:53:48 AM  all   14.37    0.00    5.49    6.00    0.00    0.04    0.00    0.00    0.00   74.10
11:53:49 AM  all   12.13    0.00    5.70    4.84    0.00    0.04    0.00    0.00    0.00   77.29
11:53:50 AM  all   12.23    0.00    4.06    3.68    0.00    0.04    0.00    0.00    0.00   79.98
11:53:51 AM  all   11.58    0.00    3.24    2.74    0.00    0.04    0.00    0.00    0.00   82.40
11:53:52 AM  all   12.50    0.00    4.38    3.62    0.00    0.00    0.00    0.00    0.00   79.50
11:53:53 AM  all   11.93    0.00    4.29    3.57    0.00    0.04    0.00    0.00    0.00   80.18
11:53:54 AM  all   13.51    0.00    5.34    3.93    0.00    0.00    0.00    0.00    0.00   77.21
11:53:55 AM  all   13.46    0.00    6.16    3.25    0.00    0.00    0.00    0.00    0.00   77.13
11:53:56 AM  all   12.41    0.00    3.93    3.33    0.00    0.00    0.00    0.00    0.00   80.33
11:53:57 AM  all   11.85    0.00    4.59    3.52    0.00    0.13    0.00    0.00    0.00   79.92
11:53:58 AM  all   12.55    0.00    4.10    3.55    0.00    0.00    0.00    0.00    0.00   79.81
11:53:59 AM  all   11.00    0.00    4.01    3.20    0.00    0.09    0.00    0.00    0.00   81.71
11:54:00 AM  all   10.78    0.00    3.75    3.24    0.00    0.04    0.00    0.00    0.00   82.19
11:54:01 AM  all   13.03    0.00    6.11    3.61    0.00    0.00    0.00    0.00    0.00   77.26
11:54:02 AM  all   12.86    0.00    5.49    3.96    0.00    0.04    0.00    0.00    0.00   77.65
11:54:03 AM  all   14.09    0.00    4.30    3.49    0.00    0.00    0.00    0.00    0.00   78.13
11:54:04 AM  all   11.82    0.00    3.41    2.44    0.00    0.08    0.00    0.00    0.00   82.25
11:54:05 AM  all   11.64    0.00    3.58    3.24    0.00    0.00    0.00    0.00    0.00   81.54
11:54:06 AM  all   12.17    0.00    3.90    2.97    0.00    0.00    0.00    0.00    0.00   80.97
11:54:07 AM  all   11.62    0.00    3.70    3.57    0.00    0.09    0.00    0.00    0.00   81.02
11:54:08 AM  all   11.82    0.00    4.15    2.75    0.00    0.00    0.00    0.00    0.00   81.27
11:54:09 AM  all   16.05    0.00    6.00    5.53    0.00    0.08    0.00    0.00    0.00   72.33
11:54:10 AM  all   14.16    0.00    4.65    3.07    0.00    0.00    0.00    0.00    0.00   78.12
11:54:11 AM  all   14.03    0.00    5.73    5.82    0.00    0.04    0.00    0.00    0.00   74.38
11:54:12 AM  all   12.06    0.00    4.28    5.77    0.00    0.04    0.00    0.00    0.00   77.84
11:54:13 AM  all   12.54    0.00    4.75    5.48    0.00    0.09    0.00    0.00    0.00   77.15
11:54:14 AM  all   12.68    0.00    4.58    5.77    0.00    0.08    0.00    0.00    0.00   76.89
11:54:15 AM  all   11.57    0.00    4.56    4.56    0.00    0.00    0.00    0.00    0.00   79.31
11:54:16 AM  all   13.80    0.00    5.67    3.75    0.00    0.04    0.00    0.00    0.00   76.74
11:54:17 AM  all   14.84    0.00    4.76    2.91    0.00    0.00    0.00    0.00    0.00   77.49
11:54:18 AM  all   14.24    0.00    4.99    3.76    0.00    0.04    0.00    0.00    0.00   76.98
11:54:19 AM  all   11.42    0.00    3.75    3.62    0.00    0.00    0.00    0.00    0.00   81.20
11:54:20 AM  all   11.84    0.00    3.82    3.61    0.00    0.00    0.00    0.00    0.00   80.73
11:54:21 AM  all   10.68    0.00    3.40    2.85    0.00    0.00    0.00    0.00    0.00   83.06
11:54:22 AM  all   11.40    0.00    3.96    3.19    0.00    0.04    0.00    0.00    0.00   81.40
11:54:23 AM  all   13.04    0.00    3.82    3.40    0.00    0.04    0.00    0.00    0.00   79.70
11:54:24 AM  all   14.60    0.00    5.43    3.83    0.00    0.08    0.00    0.00    0.00   76.06
11:54:25 AM  all   14.40    0.00    5.49    3.55    0.00    0.00    0.00    0.00    0.00   76.56
11:54:26 AM  all   12.83    0.00    3.56    3.05    0.00    0.00    0.00    0.00    0.00   80.56
11:54:27 AM  all   11.17    0.00    6.73    3.30    0.00    0.00    0.00    0.00    0.00   78.81
11:54:28 AM  all    8.94    0.00    4.79    3.29    0.00    0.00    0.00    0.00    0.00   82.98
11:54:29 AM  all   11.89    0.00    3.74    2.93    0.00    0.08    0.00    0.00    0.00   81.36
11:54:30 AM  all   11.86    0.00    3.80    2.22    0.00    0.09    0.00    0.00    0.00   82.05
11:54:31 AM  all   12.94    0.00    4.90    2.64    0.00    0.09    0.00    0.00    0.00   79.44
11:54:32 AM  all   13.22    0.00    4.93    2.47    0.00    0.04    0.00    0.00    0.00   79.34
11:54:33 AM  all   14.94    0.00    5.21    3.13    0.00    0.04    0.00    0.00    0.00   76.67
11:54:34 AM  all   11.35    0.00    3.65    2.49    0.00    0.04    0.00    0.00    0.00   82.47
11:54:35 AM  all   15.99    0.00    4.96    5.60    0.00    0.08    0.00    0.00    0.00   73.36
11:54:36 AM  all   11.44    0.00    4.35    2.90    0.00    0.04    0.00    0.00    0.00   81.26
11:54:37 AM  all   15.03    0.00    4.97    4.55    0.00    0.08    0.00    0.00    0.00   75.37
11:54:38 AM  all   12.08    0.00    7.37    5.14    0.00    0.09    0.00    0.00    0.00   75.32
11:54:39 AM  all   15.48    0.00    6.07    4.93    0.00    0.08    0.00    0.00    0.00   73.43
11:54:40 AM  all   14.87    0.00    5.89    5.13    0.00    0.17    0.00    0.00    0.00   73.94
11:54:41 AM  all   15.31    0.00    5.53    4.64    0.00    0.04    0.00    0.00    0.00   74.48
11:54:42 AM  all   11.91    0.00    4.44    2.56    0.00    0.00    0.00    0.00    0.00   81.08
11:54:43 AM  all   13.19    0.00    3.99    2.93    0.00    0.04    0.00    0.00    0.00   79.86
11:54:44 AM  all   12.92    0.00    4.56    3.28    0.00    0.09    0.00    0.00    0.00   79.16
11:54:45 AM  all   12.03    0.00    4.24    3.12    0.00    0.09    0.00    0.00    0.00   80.52
11:54:46 AM  all   13.01    0.00    4.28    2.56    0.00    0.04    0.00    0.00    0.00   80.11
11:54:47 AM  all   12.93    0.00    5.27    2.85    0.00    0.04    0.00    0.00    0.00   78.91
11:54:48 AM  all   13.66    0.00    5.39    3.18    0.00    0.00    0.00    0.00    0.00   77.78
11:54:49 AM  all   12.79    0.00    4.43    3.11    0.00    0.09    0.00    0.00    0.00   79.57
11:54:50 AM  all   11.59    0.00    3.92    2.81    0.00    0.04    0.00    0.00    0.00   81.64
11:54:51 AM  all   10.80    0.00    3.77    2.57    0.00    0.04    0.00    0.00    0.00   82.82
11:54:52 AM  all   12.59    0.00    4.39    3.25    0.00    0.13    0.00    0.00    0.00   79.64
11:54:53 AM  all   13.67    0.00    4.13    3.02    0.00    0.13    0.00    0.00    0.00   79.05
11:54:54 AM  all   13.59    0.00    5.18    2.63    0.00    0.13    0.00    0.00    0.00   78.47
11:54:55 AM  all   12.70    0.00    4.91    2.16    0.00    0.00    0.00    0.00    0.00   80.23
11:54:56 AM  all   13.25    0.00    4.73    2.56    0.00    0.04    0.00    0.00    0.00   79.42
11:54:57 AM  all   13.00    0.00    4.02    2.41    0.00    0.00    0.00    0.00    0.00   80.57
11:54:58 AM  all   13.86    0.00    4.82    3.97    0.00    0.13    0.00    0.00    0.00   77.23
11:54:59 AM  all   16.13    0.00    4.88    5.05    0.00    0.13    0.00    0.00    0.00   73.81
11:55:00 AM  all   11.93    0.00    3.57    2.46    0.00    0.00    0.00    0.00    0.00   82.05
11:55:01 AM  all   13.52    0.00    5.00    5.68    0.00    0.04    0.00    0.00    0.00   75.75
11:55:02 AM  all   14.55    0.00    5.90    5.77    0.00    0.04    0.00    0.00    0.00   73.74
11:55:03 AM  all   14.79    0.00    5.60    5.68    0.00    0.00    0.00    0.00    0.00   73.93
11:55:04 AM  all   15.38    0.00    6.48    5.64    0.00    0.04    0.00    0.00    0.00   72.46
11:55:05 AM  all   11.95    0.00    4.05    3.67    0.00    0.04    0.00    0.00    0.00   80.29
11:55:06 AM  all   11.08    0.00    4.24    3.72    0.00    0.09    0.00    0.00    0.00   80.87
11:55:07 AM  all   11.30    0.00    3.84    3.24    0.00    0.04    0.00    0.00    0.00   81.59
11:55:08 AM  all   11.43    0.00    3.18    2.79    0.00    0.00    0.00    0.00    0.00   82.60
11:55:09 AM  all   11.27    0.00    5.34    3.46    0.00    0.04    0.00    0.00    0.00   79.89
11:55:10 AM  all   13.84    0.00    5.52    3.52    0.00    0.04    0.00    0.00    0.00   77.07
11:55:11 AM  all   15.24    0.00    5.09    3.58    0.00    0.00    0.00    0.00    0.00   76.09
11:55:12 AM  all   12.56    0.00    3.83    2.85    0.00    0.00    0.00    0.00    0.00   80.75
11:55:13 AM  all   12.10    0.00    3.82    2.97    0.00    0.00    0.00    0.00    0.00   81.11
11:55:14 AM  all   11.99    0.00    3.69    3.43    0.00    0.04    0.00    0.00    0.00   80.85
11:55:15 AM  all   12.43    0.00    4.16    3.31    0.00    0.00    0.00    0.00    0.00   80.10
11:55:16 AM  all   10.67    0.00    4.14    3.50    0.00    0.04    0.00    0.00    0.00   81.65
11:55:17 AM  all   10.93    0.00    4.59    2.79    0.00    0.00    0.00    0.00    0.00   81.69
11:55:18 AM  all   14.63    0.00    5.39    3.48    0.00    0.04    0.00    0.00    0.00   76.46
11:55:19 AM  all   15.55    0.00    5.01    3.05    0.00    0.04    0.00    0.00    0.00   76.35
11:55:20 AM  all   12.00    0.00    3.34    3.04    0.00    0.00    0.00    0.00    0.00   81.62
11:55:21 AM  all   11.58    0.00    3.72    2.92    0.00    0.00    0.00    0.00    0.00   81.79
11:55:22 AM  all   10.73    0.00    3.24    2.64    0.00    0.09    0.00    0.00    0.00   83.31
11:55:23 AM  all   11.61    0.00    3.43    2.67    0.00    0.04    0.00    0.00    0.00   82.25
11:55:24 AM  all   14.00    0.00    4.43    5.40    0.00    0.13    0.00    0.00    0.00   76.05
11:55:25 AM  all   13.10    0.00    6.21    4.02    0.00    0.00    0.00    0.00    0.00   76.67
11:55:26 AM  all   13.04    0.00    7.13    4.59    0.00    0.04    0.00    0.00    0.00   75.20
11:55:27 AM  all   14.56    0.00    6.47    5.92    0.00    0.09    0.00    0.00    0.00   72.97
11:55:28 AM  all   13.44    0.00    3.94    5.47    0.00    0.00    0.00    0.00    0.00   77.15
11:55:29 AM  all   11.65    0.00    4.88    5.48    0.00    0.04    0.00    0.00    0.00   77.94
11:55:30 AM  all   13.46    0.00    5.25    5.46    0.00    0.04    0.00    0.00    0.00   75.78
11:55:31 AM  all   10.97    0.00    5.17    3.18    0.00    0.04    0.00    0.00    0.00   80.64
11:55:32 AM  all   11.52    0.00    4.32    3.85    0.00    0.04    0.00    0.00    0.00   80.27
11:55:33 AM  all   13.33    0.00    4.67    3.69    0.00    0.00    0.00    0.00    0.00   78.30
11:55:34 AM  all   12.84    0.00    5.89    3.20    0.00    0.04    0.00    0.00    0.00   78.03
11:55:35 AM  all   11.71    0.00    5.43    3.29    0.00    0.04    0.00    0.00    0.00   79.53
11:55:36 AM  all   13.36    0.00    5.25    3.84    0.00    0.04    0.00    0.00    0.00   77.50
11:55:37 AM  all   12.01    0.00    3.31    3.57    0.00    0.04    0.00    0.00    0.00   81.07
11:55:38 AM  all   11.55    0.00    3.76    3.12    0.00    0.00    0.00    0.00    0.00   81.57
11:55:39 AM  all   11.24    0.00    3.32    2.60    0.00    0.04    0.00    0.00    0.00   82.79
11:55:40 AM  all   11.14    0.00    3.94    3.34    0.00    0.00    0.00    0.00    0.00   81.58
11:55:41 AM  all   12.05    0.00    3.42    3.42    0.00    0.04    0.00    0.00    0.00   81.07
11:55:42 AM  all   13.96    0.00    5.85    3.67    0.00    0.04    0.00    0.00    0.00   76.47
11:55:43 AM  all   13.21    0.00    4.90    3.00    0.00    0.04    0.00    0.00    0.00   78.85
11:55:44 AM  all   14.15    0.00    5.22    3.37    0.00    0.00    0.00    0.00    0.00   77.26
11:55:45 AM  all   12.20    0.00    3.61    2.93    0.00    0.17    0.00    0.00    0.00   81.08
11:55:46 AM  all   11.42    0.00    3.97    2.88    0.00    0.00    0.00    0.00    0.00   81.73
11:55:47 AM  all   11.77    0.00    3.47    2.71    0.00    0.00    0.00    0.00    0.00   82.05
11:55:48 AM  all   11.69    0.00    4.24    2.71    0.00    0.08    0.00    0.00    0.00   81.28
11:55:49 AM  all   11.50    0.00    3.29    2.65    0.00    0.00    0.00    0.00    0.00   82.56
11:55:50 AM  all   16.13    0.00    5.52    5.39    0.00    0.04    0.00    0.00    0.00   72.93
11:55:51 AM  all   13.86    0.00    4.80    3.83    0.00    0.00    0.00    0.00    0.00   77.51
11:55:52 AM  all   16.00    0.00    5.39    4.92    0.00    0.04    0.00    0.00    0.00   73.64
11:55:53 AM  all   12.17    0.00    4.54    5.40    0.00    0.00    0.00    0.00    0.00   77.89
11:55:54 AM  all   12.56    0.00    4.56    5.11    0.00    0.09    0.00    0.00    0.00   77.69
11:55:55 AM  all   12.22    0.00    4.17    5.28    0.00    0.09    0.00    0.00    0.00   78.25
11:55:56 AM  all   12.38    0.00    4.93    5.44    0.00    0.00    0.00    0.00    0.00   77.26
11:55:57 AM  all   11.06    0.00    2.99    2.65    0.00    0.00    0.00    0.00    0.00   83.30
11:55:58 AM  all   14.28    0.00    5.69    3.78    0.00    0.04    0.00    0.00    0.00   76.20
11:55:59 AM  all   13.50    0.00    4.40    3.68    0.04    0.00    0.00    0.00    0.00   78.37
11:56:00 AM  all   14.09    0.00    4.34    3.49    0.00    0.04    0.00    0.00    0.00   78.04
11:56:01 AM  all   10.90    0.00    2.99    2.99    0.00    0.04    0.00    0.00    0.00   83.08
11:56:02 AM  all   11.08    0.00    3.84    3.41    0.00    0.00    0.00    0.00    0.00   81.67
11:56:03 AM  all   11.44    0.00    3.35    3.26    0.00    0.04    0.00    0.00    0.00   81.91
11:56:04 AM  all   13.04    0.00    4.31    3.17    0.00    0.08    0.00    0.00    0.00   79.40
11:56:05 AM  all   13.71    0.00    4.03    2.39    0.00    0.04    0.00    0.00    0.00   79.83
11:56:06 AM  all   13.48    0.00    5.11    2.70    0.00    0.04    0.00    0.00    0.00   78.66
11:56:07 AM  all   13.78    0.00    4.82    3.30    0.00    0.08    0.00    0.00    0.00   78.01
11:56:08 AM  all   13.97    0.00    4.23    3.18    0.00    0.04    0.00    0.00    0.00   78.58
11:56:09 AM  all   11.91    0.00    4.07    2.33    0.00    0.04    0.00    0.00    0.00   81.64
11:56:10 AM  all   12.73    0.00    3.85    2.50    0.00    0.04    0.00    0.00    0.00   80.88
11:56:11 AM  all   13.03    0.00    3.09    2.62    0.00    0.08    0.00    0.00    0.00   81.17
11:56:12 AM  all   11.22    0.00    3.80    2.83    0.00    0.04    0.00    0.00    0.00   82.12
11:56:13 AM  all   12.57    0.00    4.08    2.85    0.00    0.00    0.00    0.00    0.00   80.50
11:56:14 AM  all   13.81    0.00    5.44    3.06    0.00    0.04    0.00    0.00    0.00   77.65
11:56:15 AM  all   15.69    0.00    4.97    4.46    0.00    0.00    0.00    0.00    0.00   74.87
11:56:16 AM  all   13.11    0.00    4.13    3.49    0.00    0.09    0.00    0.00    0.00   79.19
11:56:17 AM  all   13.81    0.00    3.91    4.89    0.00    0.04    0.00    0.00    0.00   77.35
11:56:18 AM  all   11.14    0.00    3.83    2.93    0.00    0.00    0.00    0.00    0.00   82.10
11:56:19 AM  all   12.94    0.00    3.89    5.42    0.00    0.17    0.00    0.00    0.00   77.58
11:56:20 AM  all   14.43    0.00    4.81    5.32    0.00    0.09    0.00    0.00    0.00   75.36
11:56:21 AM  all   12.92    0.00    4.90    5.54    0.00    0.09    0.00    0.00    0.00   76.55
11:56:22 AM  all   14.51    0.00    5.67    6.10    0.00    0.00    0.00    0.00    0.00   73.72
11:56:23 AM  all   13.50    0.00    4.30    2.67    0.00    0.00    0.00    0.00    0.00   79.54
11:56:24 AM  all   12.29    0.00    4.20    3.94    0.00    0.00    0.00    0.00    0.00   79.57
11:56:25 AM  all   11.04    0.00    4.03    3.52    0.00    0.08    0.00    0.00    0.00   81.32
11:56:26 AM  all   12.41    0.00    3.97    3.16    0.00    0.00    0.00    0.00    0.00   80.46
11:56:27 AM  all   11.14    0.00    3.19    2.47    0.00    0.00    0.00    0.00    0.00   83.20
11:56:28 AM  all   12.12    0.00    4.29    3.37    0.00    0.08    0.00    0.00    0.00   80.13
11:56:29 AM  all   12.65    0.00    4.62    3.68    0.00    0.04    0.00    0.00    0.00   79.01
11:56:30 AM  all   14.60    0.00    5.90    3.51    0.00    0.00    0.00    0.00    0.00   75.98
11:56:31 AM  all   14.15    0.00    4.39    3.17    0.00    0.00    0.00    0.00    0.00   78.29
11:56:32 AM  all   11.50    0.00    3.48    3.10    0.00    0.04    0.00    0.00    0.00   81.88
11:56:33 AM  all   12.58    0.00    3.05    3.52    0.00    0.04    0.00    0.00    0.00   80.81
11:56:34 AM  all   12.12    0.00    3.97    3.33    0.00    0.04    0.00    0.00    0.00   80.55
11:56:35 AM  all   10.85    0.00    2.79    3.43    0.00    0.00    0.00    0.00    0.00   82.93
11:56:36 AM  all   11.83    0.00    3.80    2.52    0.00    0.00    0.00    0.00    0.00   81.85
11:56:37 AM  all   14.45    0.00    4.48    2.58    0.00    0.00    0.00    0.00    0.00   78.50
11:56:38 AM  all   13.81    0.00    5.32    2.96    0.00    0.00    0.00    0.00    0.00   77.90
11:56:39 AM  all   13.89    0.00    4.07    3.01    0.00    0.00    0.00    0.00    0.00   79.03
11:56:40 AM  all   12.45    0.00    3.67    3.45    0.00    0.09    0.00    0.00    0.00   80.35
11:56:41 AM  all   14.56    0.00    3.78    5.14    0.00    0.04    0.00    0.00    0.00   76.48
11:56:42 AM  all   13.34    0.00    3.49    3.32    0.00    0.08    0.00    0.00    0.00   79.76
11:56:43 AM  all   13.01    0.00    3.64    5.04    0.00    0.08    0.00    0.00    0.00   78.22
11:56:44 AM  all   12.21    0.00    3.98    3.35    0.00    0.04    0.00    0.00    0.00   80.42
11:56:45 AM  all   16.36    0.00    5.13    5.59    0.00    0.04    0.00    0.00    0.00   72.88
11:56:46 AM  all   15.00    0.00    6.20    5.90    0.00    0.04    0.00    0.00    0.00   72.85
11:56:47 AM  all   15.27    0.00    4.31    5.67    0.00    0.00    0.00    0.00    0.00   74.75
11:56:48 AM  all   11.46    0.00    4.84    5.01    0.00    0.08    0.00    0.00    0.00   78.60
11:56:49 AM  all   11.13    0.00    3.30    2.71    0.00    0.04    0.00    0.00    0.00   82.81
11:56:50 AM  all   11.49    0.00    4.07    3.47    0.00    0.04    0.00    0.00    0.00   80.93
11:56:51 AM  all   11.12    0.00    3.83    3.54    0.00    0.09    0.00    0.00    0.00   81.42
11:56:52 AM  all   11.42    0.00    4.20    3.48    0.00    0.08    0.00    0.00    0.00   80.81
11:56:53 AM  all   11.92    0.00    4.34    2.36    0.00    0.00    0.00    0.00    0.00   81.38
11:56:54 AM  all   12.46    0.00    5.34    3.24    0.00    0.00    0.00    0.00    0.00   78.96
11:56:55 AM  all   13.91    0.00    3.85    3.72    0.00    0.04    0.00    0.00    0.00   78.49
11:56:56 AM  all   11.45    0.00    4.24    3.56    0.00    0.00    0.00    0.00    0.00   80.75
11:56:57 AM  all    9.49    0.00    5.40    2.32    0.00    0.04    0.00    0.00    0.00   82.74
11:56:58 AM  all   10.30    0.00    4.38    2.83    0.00    0.00    0.00    0.00    0.00   82.49
11:56:59 AM  all    9.97    0.00    4.67    2.61    0.00    0.00    0.00    0.00    0.00   82.74
11:57:00 AM  all   10.19    0.00    4.35    3.33    0.00    0.04    0.00    0.00    0.00   82.09
11:57:01 AM  all   12.99    0.00    4.67    3.57    0.00    0.00    0.00    0.00    0.00   78.77
11:57:02 AM  all   10.97    0.00    5.21    2.84    0.00    0.00    0.00    0.00    0.00   80.98
11:57:03 AM  all   12.04    0.00    3.05    2.84    0.00    0.04    0.00    0.00    0.00   82.02
11:57:04 AM  all   11.83    0.00    3.80    3.03    0.00    0.04    0.00    0.00    0.00   81.30
11:57:05 AM  all   11.79    0.00    3.45    2.85    0.00    0.00    0.00    0.00    0.00   81.91
